name,new_price,old_price,discount,status,photo_link,link,positive_feedback
БУ Ноутбук Asus X555lDB 15.6 Intel i5-5200U 8 RAM 500 HDD NVIDIA GT 820M 2 ГБ,10999.0,12221.11,10.0,В наявності,https://images.prom.ua/3798440390_w200_h200_bu-noutbuk-asus.jpg,https://prom.ua/p1622163400-noutbuk-asus-x555ldb.html,100
БУ Ноутбук Acer V5-571G 15.6 Intel i5-3317U 8 RAM 500 HDD NVIDIA GT 620M 1 ГБ,7650.0,8500.0,10.0,В наявності,https://images.prom.ua/3798440405_w200_h200_bu-noutbuk-acer.jpg,https://prom.ua/p1622163402-noutbuk-acer-571g.html,100
БУ Ноутбук Lenovo Ideapad S145-15IWL 15.6 Intel i3-8145U 8 RAM 256 SSD NVIDIA MX110 2 ГБ,13999.0,15554.44,10.0,В наявності,https://images.prom.ua/3798601151_w200_h200_bu-noutbuk-lenovo.jpg,https://prom.ua/p1622214938-noutbuk-lenovo-ideapad.html,100
"Ноутбук Lenovo ThinkPad T530-Intel Core-i5-3210M-2,50GHz-4Gb-DDR3-500Gb-HDD-DVD-RW15.6-Web-NVIDIA NVS 5400M(2Gb)-(C)- Б/В",6109.0,6430.0,5.0,Закінчується,https://images.prom.ua/2548209037_w200_h200_noutbuk-lenovo-thinkpad.jpg,https://prom.ua/p1237433625-noutbuk-lenovo-thinkpad.html,88
"Ноутбук Dell Latitude E5540-Intel Core-i5-4300U-1,90GHz-4Gb-DDR3-320Gb-HDD-W15.6-FHD-Web-NVIDIA GeForce GT 720M(2Gb)-(C)- Б/В",6992.0,7360.0,5.0,Закінчується,https://images.prom.ua/2577242444_w200_h200_noutbuk-dell-latitude.jpg,https://prom.ua/p1246566710-noutbuk-dell-latitude.html,88
Ноутбук Lenovo ThinkPad S440-Intel Core i5-4200U-1.6GHz-4Gb-DDR3-320Gb-HDD-W14-IPS-Touch-Web-AMD Radeon HD 8670M(1Gb)-(B)- Б/В,8094.0,8520.0,5.0,Закінчується,https://images.prom.ua/2577252789_w200_h200_noutbuk-lenovo-thinkpad.jpg,https://prom.ua/p1246566834-noutbuk-lenovo-thinkpad.html,88
Ноутбук Dell Precision 7710-Intel Core i5-6300HQ-2.3GHz-8Gb-DDR4-256Gb-SDD-W17.3-IPS-FHD-AMD Radeon R9 M375X(4Gb)-(B)- Б/В,21622.0,22760.0,5.0,Закінчується,https://images.prom.ua/2722704452_w200_h200_noutbuk-dell-precision.jpg,https://prom.ua/p1292390689-noutbuk-dell-precision.html,88
"Ноутбук Dell Latitude E5570-Intel Core-i5-6300U-2,40GHz-8Gb-DDR4-128Gb-SSD-W15.6-FHD-IPS-Web-AMD Radeon R7 M360-(C)- Б/В",12445.0,13100.0,5.0,Закінчується,https://images.prom.ua/2722697991_w200_h200_noutbuk-dell-latitude.jpg,https://prom.ua/p1292390693-noutbuk-dell-latitude.html,88
"Ноутбук HP 15-n221so-AMD A6-5200-2.0GHz-4Gb-DDR3-320Gb-HDD-DVD-RW-W15,6-Web-AMD Radeon HD 8600M (2Gb)-(C)- Б/В",5358.0,5640.0,5.0,Закінчується,https://images.prom.ua/2811693682_w200_h200_noutbuk-hp-15-n221so-amd.jpg,https://prom.ua/p1320002934-noutbuk-n221so-amd.html,88
"Ноутбук Lenovo Z50-75-AMD A8-7100-1.8GHZ-4GB-DDR3-320GB-HDD-W15,6-AMD Radeon R6 M255DX-(B-)- Б/В",7030.0,7400.0,5.0,Закінчується,https://images.prom.ua/2811693681_w200_h200_noutbuk-lenovo-z50-75-amd.jpg,https://prom.ua/p1320002942-noutbuk-lenovo-z50.html,88
